	GEO	Run	disease_state	treated
C1	GSM5112203	SRR13795616	healthy	NO
C2	GSM5112204	SRR13795617	healthy	NO
C3	GSM5112205	SRR13795618	healthy	NO
C4	GSM5112206	SRR13795619	healthy	NO
C5	GSM5112207	SRR13795620	healthy	NO
E1	GSM5112208	SRR13795621	infected	NO
E2	GSM5112209	SRR13795622	infected	NO
E3	GSM5112210	SRR13795623	infected	NO
E4	GSM5112211	SRR13795624	infected	NO
E5	GSM5112212	SRR13795625	infected	NO
ET1	GSM5112213	SRR13795626	infected+treated	YES
ET2	GSM5112214	SRR13795627	infected+treated	YES
ET3	GSM5112215	SRR13795628	infected+treated	YES
ET4	GSM5112216	SRR13795629	infected+treated	YES
ET5	GSM5112217	SRR13795630	infected+treated	YES
