run_accession	sample_accession	experiment_accession	study_accession	tax_id	scientific_name	fastq_ftp	submitted_ftp	sra_ftp
SRR13795620	SAMN18075938	SRX10179885	PRJNA705190	10090	Mus musculus	ftp.sra.ebi.ac.uk/vol1/fastq/SRR137/020/SRR13795620/SRR13795620.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR137/020/SRR13795620
SRR13795622	SAMN18075943	SRX10179887	PRJNA705190	10090	Mus musculus	ftp.sra.ebi.ac.uk/vol1/fastq/SRR137/022/SRR13795622/SRR13795622.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR137/022/SRR13795622
SRR13795625	SAMN18075936	SRX10179890	PRJNA705190	10090	Mus musculus	ftp.sra.ebi.ac.uk/vol1/fastq/SRR137/025/SRR13795625/SRR13795625.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR137/025/SRR13795625
SRR13795627	SAMN18075934	SRX10179892	PRJNA705190	10090	Mus musculus	ftp.sra.ebi.ac.uk/vol1/fastq/SRR137/027/SRR13795627/SRR13795627.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR137/027/SRR13795627
SRR13795617	SAMN18075944	SRX10179882	PRJNA705190	10090	Mus musculus	ftp.sra.ebi.ac.uk/vol1/fastq/SRR137/017/SRR13795617/SRR13795617.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR137/017/SRR13795617
SRR13795618	SAMN18075940	SRX10179883	PRJNA705190	10090	Mus musculus	ftp.sra.ebi.ac.uk/vol1/fastq/SRR137/018/SRR13795618/SRR13795618.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR137/018/SRR13795618
SRR13795621	SAMN18075937	SRX10179886	PRJNA705190	10090	Mus musculus	ftp.sra.ebi.ac.uk/vol1/fastq/SRR137/021/SRR13795621/SRR13795621.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR137/021/SRR13795621
SRR13795623	SAMN18075942	SRX10179888	PRJNA705190	10090	Mus musculus	ftp.sra.ebi.ac.uk/vol1/fastq/SRR137/023/SRR13795623/SRR13795623.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR137/023/SRR13795623
SRR13795626	SAMN18075935	SRX10179891	PRJNA705190	10090	Mus musculus	ftp.sra.ebi.ac.uk/vol1/fastq/SRR137/026/SRR13795626/SRR13795626.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR137/026/SRR13795626
SRR13795616	SAMN18075945	SRX10179881	PRJNA705190	10090	Mus musculus	ftp.sra.ebi.ac.uk/vol1/fastq/SRR137/016/SRR13795616/SRR13795616.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR137/016/SRR13795616
SRR13795619	SAMN18075939	SRX10179884	PRJNA705190	10090	Mus musculus	ftp.sra.ebi.ac.uk/vol1/fastq/SRR137/019/SRR13795619/SRR13795619.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR137/019/SRR13795619
SRR13795624	SAMN18075941	SRX10179889	PRJNA705190	10090	Mus musculus	ftp.sra.ebi.ac.uk/vol1/fastq/SRR137/024/SRR13795624/SRR13795624.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR137/024/SRR13795624
SRR13795628	SAMN18075973	SRX10179893	PRJNA705190	10090	Mus musculus	ftp.sra.ebi.ac.uk/vol1/fastq/SRR137/028/SRR13795628/SRR13795628.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR137/028/SRR13795628
SRR13795629	SAMN18075972	SRX10179894	PRJNA705190	10090	Mus musculus	ftp.sra.ebi.ac.uk/vol1/fastq/SRR137/029/SRR13795629/SRR13795629.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR137/029/SRR13795629
SRR13795630	SAMN18075971	SRX10179895	PRJNA705190	10090	Mus musculus	ftp.sra.ebi.ac.uk/vol1/fastq/SRR137/030/SRR13795630/SRR13795630.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR137/030/SRR13795630
